Module                  Size  Used by
ghash_clmulni_intel    12288  0
mei_hdcp               28672  0
btintel                69632  1 btusb
processor_thermal_device    24576  1 processor_thermal_device_pci_legacy
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
aesni_intel            98304  8
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
dell_smbios            36864  3 dell_wmi,dell_pc,dell_laptop
processor_thermal_wt_hint    16384  1 processor_thermal_device
btbcm                  24576  1 btusb
binfmt_misc            24576  1
libarc4                12288  1 mac80211
mtd                    98304  3 spi_nor,cmdlinepart
intel_rapl_msr         20480  0
nvidia              14409728  32 nvidia_uvm,nvidia_modeset
btmtk                  36864  1 btusb
platform_temperature_control    20480  1 processor_thermal_device
iwlwifi               647168  1 iwlmvm
videodev              364544  2 videobuf2_v4l2,uvcvideo
rapl                   20480  0
snd                   143360  27 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,snd_hda_codec_alc269,snd_soc_core,snd_pcm,snd_rawmidi
dell_wmi_sysman        49152  0
drm_buddy              28672  2 xe,i915
i2c_i801               36864  0
processor_thermal_soc_slider    16384  1 processor_thermal_device
dcdbas                 20480  1 dell_smbios
mei_me                 53248  2
processor_thermal_rfim    40960  1 processor_thermal_device
i2c_smbus              20480  1 i2c_i801
intel_cstate           20480  0
drm_ttm_helper         16384  2 nvidia_drm,xe
nls_iso8859_1          12288  1
processor_thermal_rapl    16384  1 processor_thermal_device
spi_intel_pci          12288  0
dell_smm_hwmon         36864  0
bluetooth            1024000  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
firmware_attributes_class    12288  1 dell_wmi_sysman
dell_wmi_descriptor    16384  2 dell_wmi,dell_smbios
wmi_bmof               12288  0
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
i2c_mux                12288  1 i2c_i801
drm_display_helper    290816  2 xe,i915
soundcore              16384  2 snd_ctl_led,snd
spi_intel              36864  1 spi_intel_pci
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
cfg80211             1462272  3 iwlmvm,iwlwifi,mac80211
processor_thermal_wt_req    12288  1 processor_thermal_device
ttm                   126976  3 drm_ttm_helper,xe,i915
processor_thermal_power_floor    12288  1 processor_thermal_device
cec                    98304  3 drm_display_helper,xe,i915
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
rc_core                73728  1 cec
i2c_algo_bit           16384  2 xe,i915
igen6_edac             28672  0
platform_profile       20480  2 dell_pc,processor_thermal_soc_slider
intel_pmc_core        135168  0
pmt_telemetry          16384  1 intel_pmc_core
int3403_thermal        16384  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
pmt_discovery          20480  1 pmt_telemetry
pmt_class              20480  2 pmt_telemetry,pmt_discovery
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
int3400_thermal        24576  0
intel_hid              32768  0
intel_vsec             24576  3 intel_pmc_ssram_telemetry,pmt_telemetry,xe
acpi_thermal_rel       24576  1 int3400_thermal
sparse_keymap          12288  2 intel_hid,dell_wmi
acpi_tad               20480  0
acpi_pad              184320  0
joydev                 32768  0
input_leds             12288  0
serio_raw              20480  0
mac_hid                12288  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              20480  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
usbhid                 77824  0
hid_sensor_custom      28672  0
hid_sensor_hub         28672  1 hid_sensor_custom
intel_ishtp_hid        32768  0
ucsi_acpi              12288  0
typec_ucsi             65536  1 ucsi_acpi
typec                 118784  1 typec_ucsi
nvme                   61440  2
nvme_core             233472  3 nvme
nvme_keyring           20480  1 nvme_core
nvme_auth              28672  1 nvme_core
ahci                   49152  0
libahci                53248  1 ahci
hid_multitouch         36864  0
hid_generic            12288  0
